"","IDs","QuantConcentration","AvgFragmentLength","CorrFragment","Molarity_nM","samplevolume","EbVolumeToAdd"
"80","G08",1.974,504,384,7.78882575757576,4,1.19255050505051
"81","G09",1.998,472,352,8.60020661157025,4,1.73347107438017
"82","G10",1.95,517,397,7.44217998626059,4,0.961453324173728
"83","G11",1.981,529,409,7.33866785211529,4,0.892445234743524
"84","G12",2.053,484,364,8.54562104562105,4,1.6970806970807
"85","H01",2.091,464,344,9.20983086680761,4,2.13988724453841
"86","H02",2.142,477,357,9.09090909090909,4,2.06060606060606
"87","H03",2.057,467,347,8.98174831892411,4,1.98783221261607
"88","H04",2.218,502,382,8.79739806441377,4,1.86493204294251
"89","H05",1.983,486,366,8.20914058618977,4,1.47276039079318
"90","H06",2.001,504,384,7.89535984848485,4,1.26357323232323
"91","H07",1.986,472,352,8.54855371900826,4,1.69903581267218
"92","H08",1.948,517,397,7.43454698114648,4,0.956364654097651
"93","H09",2.009,529,409,7.44239460620879,4,0.961596404139192
"94","H10",2.007,484,364,8.35414585414586,4,1.56943056943057
"95","H11",1.993,464,344,8.77818886539817,4,1.85212591026545
"96","H12",1.916,477,357,8.13173754350225,4,1.42115836233483
